,Time,Height,Set Point
0,0.275,10,10
1,0.909,10,10
2,1.561,10,10
3,2.17,10,10
4,2.789,10,10
5,3.419,10,10
6,4.028,10,10
7,4.636,10,10
8,5.278,10,10
9,5.886,10,10
10,6.495,10,10
11,7.696,10,10
12,8.32,10,10
13,8.929,10,10
14,9.548,10,10
15,10.156,10,10
16,10.787,10,10
17,11.395,10,10
18,12.014,11,10
19,12.634,44,10
20,13.253,76,10
21,13.861,83,10
22,14.47,83,10
23,15.101,82,10
24,15.709,80,10
25,16.328,79,10
26,16.948,79,50
27,17.58,79,50
28,18.216,79,50
29,18.828,79,50
30,19.449,78,50
31,20.119,78,50
32,20.742,80,50
33,21.383,79,50
34,21.991,78,50
35,22.622,80,50
36,23.231,81,50
37,23.861,82,50
38,24.48,81,50
39,25.122,79,50
40,25.745,67,50
41,26.377,44,50
42,27.008,39,50
43,27.636,40,50
44,28.252,40,50
45,28.871,42,50
46,29.493,44,50
47,30.132,48,50
48,30.753,50,50
49,31.371,51,50
50,31.992,51,50
51,32.61,48,50
52,33.228,46,50
53,33.84,47,50
54,34.462,50,50
55,35.091,51,50
56,35.708,50,50
57,36.327,50,50
58,36.95,50,50
59,37.566,50,50
60,38.196,49,50
61,38.832,52,50
62,39.486,53,50
63,40.146,56,50
64,40.763,55,50
65,41.394,51,50
66,42.024,49,50
67,42.647,52,50
68,43.263,55,50
69,43.882,56,50
70,44.525,54,50
71,45.174,52,50
72,45.808,50,50
73,46.451,51,50
74,47.079,51,50
75,47.723,50,50
76,48.948,48,50
77,49.588,49,50
78,50.22,49,50
79,50.84,50,50
80,51.466,51,50
81,52.086,54,50
82,52.723,55,50
83,53.959,50,50
84,54.606,48,50
85,55.231,47,50
86,55.888,47,50
87,56.511,50,50
88,57.133,50,50
89,57.76,51,50
90,58.38,50,50
91,58.999,49,50
92,59.611,49,50
93,60.259,47,50
94,60.897,46,50
95,61.519,48,50
96,62.135,49,50
97,62.78,51,50
98,63.398,53,50
99,64.015,55,50
100,64.634,54,50
101,65.287,50,50
102,65.921,47,50
103,66.558,49,50
104,67.183,51,50
105,67.824,53,212
106,68.447,79,212
107,69.068,107,212
108,69.689,138,167
109,70.34,149,114
110,70.971,128,55
111,71.612,98,55
112,72.242,65,55
113,72.865,42,55
114,73.489,33,55
115,74.114,36,55
116,74.738,44,55
117,75.352,51,55
118,75.971,53,55
119,76.607,54,55
120,77.23,54,55
121,77.854,56,55
122,78.473,59,55
123,79.69,92,182
124,80.334,121,132
125,80.961,137,132
126,81.579,134,83
127,82.204,103,83
128,82.828,83,83
129,83.442,84,83
130,84.057,84,83
131,85.273,85,83
132,85.909,86,83
133,86.534,85,83
134,87.164,81,83
135,87.798,80,83
136,88.415,81,83
137,89.023,78,100
138,90.257,92,100
139,90.912,97,100
140,92.245,100,100
141,92.872,100,100
142,93.491,101,100
143,94.122,106,100
144,94.736,110,100
145,95.354,112,100
146,95.993,112,100
147,96.611,110,100
148,97.22,103,100
149,97.84,99,100
150,98.47,100,100
151,99.112,100,100
152,99.729,98,100
153,100.959,91,100
154,101.579,90,100
155,102.22,92,100
156,102.838,95,100
157,103.448,100,100
158,104.074,103,100
159,104.705,107,100
160,105.334,107,100
161,105.947,107,100
162,106.566,105,100
163,107.203,101,100
164,107.823,98,100
165,108.436,97,100
166,109.067,95,100
167,109.698,93,100
168,110.321,95,100
169,110.943,96,100
170,111.567,97,100
171,112.187,96,100
172,112.816,98,100
173,113.439,101,100
174,114.077,102,100
175,114.723,101,100
176,115.344,99,100
177,115.991,101,100
178,116.598,101,100
179,117.219,102,100
180,117.837,104,100
181,118.482,104,100
182,119.122,103,100
183,119.76,101,100
184,120.373,100,100
185,120.992,99,100
186,121.623,98,100
187,122.24,98,100
188,122.849,99,100
189,123.49,87,100
190,124.132,59,100
191,124.745,18,100
192,125.359,10,100
193,125.978,10,100
194,126.61,10,100
195,127.23,10,100
196,127.85,10,100
197,128.468,10,100
198,129.099,10,100
199,129.718,10,100
200,130.326,10,100
